Digraphs 1,Digraphs 2,Digraphs 3,Label
wabunge,kadhalika,vilivyoshirikiana,-1.14968815
akizungumza,kushinikiza,WasubaGirango,-1.151767152
waandishi,kuachiwa,WasunaGirango,-1.153846154
nyumbani,wafungwa,wanaishi,-1.155925156
mizengo,madhehebu,viungani,-1.158004158
cha,kishia,nyavu,-1.16008316
wabunge,Imeshuka,kujenga,-1.162162162
viongozi,mwingine,kashinje,-1.164241164
kushirikiana,kujikinga,mwanachama,-1.166320166
kudhibiti,jicho,shajara,-1.168399168
wabunge,jicho,kuzitengeneza,-1.17047817
kuishauri,kusababisha,kinyama,-1.172557173
kuangalia,kuathiri,ng,-1.174636175
viongozi,baadhi,wengi,-1.176715177
msingi,ngozi,lilimfanya,-1.178794179
viongozi,Arusha,wengi,-1.180873181
anglikan,ngombe,waliyoathirika,-1.182952183
shekhe,kingono,wanaishi,-1.185031185
mashekhe,Mandhari,chama,-1.187110187
wengine,unaoshughulikia,cha,-1.189189189
iangalie,vipashio,Mungu,-1.191268191
wanaojinyima,lugha,mchwa,-1.193347193
kufanya,wameshushia,bunge,-1.195426195
athari,jeshi,afghanistan,-1.197505198
mheshimiwa,nchi,limefunguliwa,-1.1995842
ushauri,limezingirwa,kuunganisha,-1.201663202
akaridhia,cha,nguvu,-1.203742204
kisha,janga,kwenye,-1.205821206
kubatilisha,Walihifadhi,Aliwakilisha,-1.207900208
kiongozi,Wafungwa,Mashariki,-1.20997921
unaowaongoza,wananyanyaswa,cha,-1.212058212
ingeweza,michango,cha,-1.214137214
viongozi,watamlazimisha,cha,-1.216216216
viongozi,Aliunganisha,alifanya,-1.218295218
wanaowaongoza,cha,mashabiki,-1.22037422
mianya,chai,Bongo,-1.222453222
fedha,cha,nchini,-1.224532225
kuzingatia,bidhaa,itaanzisha,-1.226611227
fedha,chakula,mlenga,-1.228690229
ziliingizwa,chini,nyumba,-1.230769231
fedha,Uingereza,yenye,-1.232848233
kufanya,tumehakikisha,cha,-1.234927235
ameshafanya,muongo,mdunguaji,-1.237006237
mwenyewe,ilikuhakikisha,Magreth,-1.239085239
zitakazochukuliwa,uchumi,suluhisho,-1.241164241
dhidi,congo,halikuchukua,-1.243243243
mwanya,madhehebu,nyasi,-1.245322245
alivyoainisha,tangu,zinaashiria,-1.247401247
alipozungumza,Khrushchev,wingi,-1.249480249
waandishi,kuchukua,kadhalika,-1.251559252
viongozi,Hifadhi,kuongezeka,-1.253638254
wenyewe,inajumuisha,kiwango,-1.255717256
kuwashughulikia,inawezesha,cha,-1.257796258
litashughulikiwa,kupitisha,ulimwengu,-1.25987526
mwanya,sheria,Mshauri,-1.261954262
fedha,wengi,cha,-1.264033264
uchumi,kwangu,sheria,-1.266112266
kushirikina,Mathew,wangu,-1.268191268
kamishna,mchezaji,tuungane,-1.27027027
kuangalia,Yanga,kuijengea,-1.272349272
mianya,wengi,nguvu,-1.274428274
itadhibiti,kiungo,Nchini,-1.276507277
waandishi,cha,nyingine,-1.278586279
baadhi,chakula,zilirahisisha,-1.280665281
wabunge,kufanya,ufanyaji,-1.282744283
waliozungumza,sherehe,kusababisha,-1.284823285
kupongeza,ukiangalia,inayoifanya,-1.286902287
ushauri,nchini,licha,-1.288981289
baadhi,icheza,haijashiriki,-1.291060291
kuwashirikisha,ishirini,mashindano,-1.293139293
kujifungia,Wabuddha,chuo,-1.295218295
baadhi,hicho,cha,-1.297297297
kuongeza,cha,kiongozi,-1.299376299
kipengele,Wakilisha,chama,-1.301455301
hicho,alisulubishwa,cha,-1.303534304
cha,kumaanisha,nchini,-1.305613306
kwenye,lingine,bichi,-1.307692308
kufanyia,alichukuliwa,myungeko,-1.30977131
marekebisho,ngambo,lafudhi,-1.311850312
kuiunga,Mkongwe,Mpango,-1.313929314
kuimarisha,waandishi,alifanya,-1.316008316
zinazochukuliwa,Maganga,wanachokiona,-1.318087318
mashariki,mamangu,baadhi,-1.32016632
zinazochukuliwa,Kulingana,nchini,-1.322245322
kuimarisha,wengine,afghanistan,-1.324324324
nchini,ikilinganishwa,mungu,-1.326403326
changamoto,thelathini,lugha,-1.328482328
kuzalisha,nyi,kushuka,-1.330561331
miongoni,mnapingana,kwenye,-1.332640333
kuimarisha,hadithi,yenye,-1.334719335
cha,uchunguzi,ghali,-1.336798337
aliushukuru,Kenyamara,wangu,-1.338877339
kushirikiana,nyingi,walifanya,-1.340956341
kuimarisha,Mheshimiwa,Jeshi,-1.343035343
imechukua,alifanya,limenyosha,-1.345114345
kuimarisha,Kisebengo,halitanyamaa,-1.347193347
unguja,kwenye,viongozi,-1.349272349
nchi,Uchunguzi,wakongwe,-1.351351351
wananchi,nchi,ianyoitwa,-1.353430353
uzalishaji,pengine,chanzo,-1.355509356
chakula,imesababisha,cha,-1.357588358
ikifanya,ishindwe,wanga,-1.35966736
nchini,kuwasomesha,upungufu,-1.361746362
rachel,wengi,motisha,-1.363825364
shilingi,anasababisha,shughuli,-1.365904366
thebathini,upungufu,kimaisha,-1.367983368
mwandishi,nchini,mwandishi,-1.37006237
mkongwe,kumsababishia,mwingine,-1.372141372
kudhalilishwa,ngedere,vinavyolenga,-1.374220374
akidhaniwa,hufanyika,wengi,-1.376299376
mashitaka,wengine,mazingira,-1.378378378
unawakilishwa,southampton,nyuma,-1.38045738
unawakilishwa,uingereza,kutofautisha,-1.382536383
rashid,anayeishi,nyingine,-1.384615385
mwanasheria,maisha,viongozi,-1.386694387
maandishi,heshima,kuelimisha,-1.388773389
thebathini,nchi,inayoongozwa,-1.390852391
ishirini,yangu,mazingira,-1.392931393
kuwajulisha,kuishi,mipango,-1.395010395
kuzingatia,kwenye,zingine,-1.397089397
kwenye,nilizungumza,wenyewe,-1.399168399
shauri,uchina,wenyewe,-1.401247401
mwandishi,Nikonga,nchi,-1.403326403
shirika,anatengeneza,athari,-1.405405405
shilingi,kashata,maisha,-1.407484407
thebathini,madhimisho,uliokomeshwa,-1.40956341
jeshi,Richard,Waingereza,-1.411642412
kisheria,kifungo,Tanganyika,-1.413721414
shilingi,udongo,Kenya,-1.415800416
ishirini,mfinyanzi,Oghuz,-1.417879418
kufungua,kutosha,kushiriki,-1.41995842
ishirini,usiosimamisha,wamenyanyaswa,-1.422037422
mashitaka,tuamisha,dhuluma,-1.424116424
yenye,nyama,maisha,-1.426195426
vifungu,shuleni,Shughuli,-1.428274428
mchana,kiuchumi,nyingi,-1.43035343
mwinyi,nchi,Magharibi,-1.432432432
chini,nchi,kwenye,-1.434511435
mwandishi,nyingine,Miongoni,-1.436590437
shingo,yenye,sherehe,-1.438669439
mwingine,nchini,nyingine,-1.440748441
kumuingiza,ubongo,nchi,-1.442827443
kwenye,umethibitisha,Kongo,-1.444906445
cha,ambacho,Angola,-1.446985447
kisha,wadhamini,Changia,-1.449064449
kumwachia,wenye,kufanyika,-1.451143451
alichofanyiwa,kusikoishaKatika,uchunguzi,-1.453222453
cha,ameiwakilisha,uchaguzi,-1.455301455
kinyama,nchi,afanye,-1.457380457
kinyume,hicho,nyingine,-1.459459459
cha,Pingamizi,limechangia,-1.461538462
nchi,dhidi,wengi,-1.463617464
chuo,kutukumbusha,kutochagua,-1.465696466
cha,viungo,isiathiri,-1.467775468
kufanya,washikeshike,uchaguzi,-1.46985447
tathmini,waangalie,Anafanya,-1.471933472
thamani,ishirini,chama,-1.474012474
dhamana,muungano,chake,-1.476091476
washitakiwa,kumchukulia,shida,-1.478170478
dhamana,shangazi,kushoto,-1.48024948
washitakiwa,uchumi,kwenye,-1.482328482
masharti,inashikilia,mashua,-1.484407484
mengine,kuimarisha,kupitishwa,-1.486486486
dhamana,mwisho,bunge,-1.488565489
washitakiwa,zilikamilishwa,wafanya,-1.490644491
thamani,kuongeza,kupunguza,-1.492723493
dhamana,Hanang,ongezeko,-1.494802495
washitakiwa,ikianzisha,bangi,-1.496881497
dhamana,cheo,kiwango,-1.498960499
mashitaka,cha,majengo,-1.501039501
washitakiwa,chifu,urithi,-1.503118503
nchini,wanaozungumza,nyingi,-1.505197505
washitakiwa,lugha,lugha,-1.507276507
dhamana,sloths,adhimu,-1.509355509
cha,baadhi,mwingi,-1.511434511
thamani,Kiingereza,wachache,-1.513513514
dhamana,skating,viongozi,-1.515592516
washitakiwa,skating,inamaanisha,-1.517671518
washitakiwa,nakadhalika,Imemfanya,-1.51975052
walirejeshwa,kiingereza,cha,-1.521829522
washitakiwa,kufungua,ulimwengu,-1.523908524
thebathini,tanganyika,kisheria,-1.525987526
kufanya,nyakati,Ethiopia,-1.528066528
washitakiwa,lilishambuliwa,nyingine,-1.53014553
machi,kuongeza,Nyanya,-1.532224532
kwenye,wengi,mwongo,-1.534303534
ulioendeshwa,mengine,shaka,-1.536382536
,mpango,nicholas,-1.538461538
thamani,kurutubisha,nchini,-1.540540541
fedha,mpango,uingereza,-1.542619543
mfanyabiashara,kurekebisha,alikanyaga,-1.544698545
fedha,uchumi,mwisho,-1.546777547
shahidi,masharti,alichuchumaa,-1.548856549
wakilinganishwa,unyongovu,dirishani,-1.550935551
uchafuzi,ikilinganishwa,usafirishaji,-1.553014553
mazingira,wengi,iliongezewa,-1.555093555
langu,Kenyatta,janga,-1.557172557
hadithi,KenyaKenyatta,kuanzishwa,-1.559251559
mwenyekiti,Alisomeshwa,Mashirikisho,-1.561330561
nchini,Uingereza,Uingereza,-1.563409563
vingi,cha,mnaisherehekea,-1.565488565
mwisho,jeshi,chini,-1.567567568
ngambo,kujumlisha,jeshi,-1.56964657
kiongozi,hunificha,Mpango,-1.571725572
majengo,mafichoni,yatangazwa,-1.573804574
urithi,chama,kuingia,-1.575883576
kuathiri,cha,kwenye,-1.577962578
uchafuzi,nywele,uchumi,-1.58004158
kuathiri,nyuzi,kwenye,-1.582120582
fedha,wanyama,kiongozi,-1.584199584
uingereza,ilifanywa,kijeshi,-1.586278586
chancellor,onyesho,baadhi,-1.588357588
ingawa,kuburudisha,hifadhi,-1.59043659
nyingi,Wachagga,mashariki,-1.592515593
matangazo,kufanya,kusafirisha,-1.594594595
kutangaza,biashara,matayarisho,-1.596673597
sheria,kwenye,mashujaa,-1.598752599
maisha,wenzangu,wameshindwa,-1.600831601
Fukuchani,manyanga,walioathirika,-1.602910603
unachotaka,nchi,baadhi,-1.604989605
kujilinganisha,nyingi,tunaangalia,-1.607068607
Mungu,itenganishwe,msingi,-1.609147609
ameonyesha,Washington,shuguli,-1.611226611
chom,ongezeko,biashara,-1.613305613
cho,shule,nyakati,-1.615384615
anglikana,ngani,Ingawa,-1.617463617
nchini,vingi,yenye,-1.61954262
uingereza,wenyeji,michezo,-1.621621622
kwenye,lugha,langu,-1.623700624
Ethiopia,wanaishi,sherehe,-1.625779626
umegawanyika,maisha,fangasi,-1.627858628
shirikisho,Ingawa,kudhohofika,-1.62993763
wingi,Kenya,kinga,-1.632016632
nyaraka,Kisha,uchaguzi,-1.634095634
kwenye,ulimwengu,umefanyika,-1.636174636
shelfu,maisha,kiwango,-1.638253638
chumbani,dhuluma,cha,-1.64033264
kisha,Wuasinkishu,nyingi,-1.642411642
lugha,Jenga,biashara,-1.644490644
uendeshaji,linaonyesha,kuwahonga,-1.646569647
Muhongo,maungo,Uchumi,-1.648648649
alishakabidhi,Akafanya,yanayoangaliwa,-1.650727651
tunachukuana,kuifunga,jicho,-1.652806653
kwenye,kuiwasha,Kisheria,-1.654885655
Kisha,afghanistan,mungu,-1.656964657
kwenye,mingine,ngumu,-1.659043659
chake,kuelimisha,uchumi,-1.661122661
nchi,mafundisho,nyingi,-1.663201663
amechukua,yenye,Songwe,-1.665280665
nimeapishwa,jangwa,kidharura,-1.667359667
nyote,yenye,ilithibitisha,-1.669438669
mumeshuhudia,mingi,Lugha,-1.671517672
kushughulikia,thelathini,amepongeza,-1.673596674
uchafuzi,kwenye,shafil,-1.675675676
alimfanya,viongozi,alichopendekeza,-1.677754678
kinga,cha,orodha,-1.67983368
hazifanyi,chagua,waandishi,-1.681912682
mengi,cha,upungufu,-1.683991684
kujenga,Runinga,mkubwaUpungufu,-1.686070686
kujenga,Masharika,unaonyesha,-1.688149688
mashariki,maisha,kuchukua,-1.69022869
ushawishi,sheria,wafanye,-1.692307692
uchumi,mwisho,Alishtuka,-1.694386694
mwishoni,Machi,wanachi,-1.696465696
maisha,chipukizi,wenye,-1.698544699
sherehe,pukutisha,ishirini,-1.700623701
wanaachwa,ikiunga,wanajenga,-1.702702703
kadhaa,wachambuzi,watangazaji,-1.704781705
Wanyiha,kupashana,Mungu,-1.706860707
kuhifadhiwa,sheria,bingu,-1.708939709
Macha,nyingi,ardhi,-1.711018711
Machange,zimetengenezwa,unyanyasaji,-1.713097713
Mshiu,ishirini,viongozi,-1.715176715
Moshi,mlangoni,kwenye,-1.717255717
Mlngu,Mbegha,ambacho,-1.719334719
biashara,inapunguza,wanaokulisha,-1.721413721
kuacha,mwangaza,chakula,-1.723492723
chakula,angani,jeshi,-1.725571726
Tanga,kuchangia,liliingia,-1.727650728
Washambuliaji,limefanya,waliopoangamiza,-1.72972973
ngao,nchi,kuonyesha,-1.731808732
majeshi,itapunguzwaTohara,kinyanganyiro,-1.733887734
nguvu,kufanywa,cha,-1.735966736
kiongozi,mwingine,dhidi,-1.738045738
zingine,mshaandika,wafanyabiashara,-1.74012474
nchini,kuimarisha,Kenya,-1.742203742
kumuunga,uchumi,wingi,-1.744282744
Wanamichezo,nchini,nchini,-1.746361746
dhidi,linafanya,uongozi,-1.748440748
mwanajeshi,chou,bungeni,-1.750519751
aliyeongoza,nchini,kuhifadhi,-1.752598753
ushirika,afghanistan,wangu,-1.754677755
Mwishoni,richard,kadhaa,-1.756756757
yenye,amezungumzia,yamewashawishi,-1.758835759
wananchi,zinazofanywa,Tafadhali,-1.760914761
itakayowahamasisha,mingine,kunipunguzia,-1.762993763
kuwaghadhabisha,Mungu,shilingi,-1.765072765
yenyewe,alitangaza,shilingi,-1.767151767
alivyofanya,mwisho,wengi,-1.769230769
kuingiza,wafanyabiashara,jeshini,-1.771309771
mazingira,shughuli,Turekebishe,-1.773388773
chunguza,ngoma,nchini,-1.775467775
vichafuzi,kumtofautisha,Kenya,-1.777546778
nyingi,msingi,mwingi,-1.77962578
uchumi,kuchukuliwa,cha,-1.781704782
maganga,dhidi,hadhi,-1.783783784
korongwe,wengi,kushindana,-1.785862786
tanga,Kichwa,walioshikamana,-1.787941788
nchi,nyuma,kiongozi,-1.79002079
kwenye,alijificha,nishere,-1.792099792
Kazakhstan,chini,michezo,-1.794178794
hajaonyesha,kwenye,heshima,-1.796257796
Bush,fungu,wenyeji,-1.798336798
Mashariki,kwenye,mengi,-1.8004158
kushirikiana,mashua,nyinginezo,-1.802494802
athari,kuangalia,tukiachana,-1.804573805
wananch,kumfanya,jengo,-1.806652807
Mwenyekiti,nguvu,ukiingiia,-1.808731809
kuzifanya,kumuangalia,vimepangwa,-1.810810811
majeshi,walitofautisha,Jeshi,-1.812889813
uingereza,wanachama,aliyefanya,-1.814968815
mafundisho,hujitengenezea,mpango,-1.817047817
kuishi,ingawa,vinasababisha,-1.819126819
misingi,Akafungwa,alishindwa,-1.821205821
kutengeneza,Umashuhuri,kadhaa,-1.823284823
chipsi,cha,wachezaji,-1.825363825
chaulo,kusababisha,wengi,-1.827442827
visheti,kinyesi,kwenye,-1.82952183
wachezaji,cha,Yanga,-1.831600832
theo,wanyama,nyinginezo,-1.833679834
bidhaa,alikunywa,baadhi,-1.835758836
kuangalia,wanaoishi,zingine,-1.837837838
kenya,ngazi,zingeenda,-1.83991684
ilichukuliwa,kwenye,Nilishiba,-1.841995842
nyumba,uingereza,kuanzisha,-1.844074844
chache,langu,dhana,-1.846153846
nyingi,nyuma,Tosh,-1.848232848
nyasi,mlango,nyanda,-1.85031185
zilizojengwa,iliyolengwa,Ethiopia,-1.852390852
zilishahamia,nchi,elizabeth,-1.854469854
ushindani,mwenyezi,uingereza,-1.856548857
dhidi,mungu,uchafuzi,-1.858627859
panya,Uhamisho,madhara,-1.860706861
kulingana,athari,kuchukua,-1.862785863
cha,kuhakikisha,lugha,-1.864864865
Mashariki,kiwango,imeathirika,-1.866943867
ulisababisha,cha,mchambuzi,-1.869022869
uchafuzi,kinaongezeka,nchini,-1.871101871
Kuishi,majanga,kenya,-1.873180873
kwingi,janga,mashindano,-1.875259875
mengi,vinasababisha,nchi,-1.877338877
baadhi,upungufu,angalau,-1.879417879
mchanganyiko,kinga,hugawanyika,-1.881496881
Wanaishi,kuliacha,hataishia,-1.883575884
uliodhaminiwa,wachezaji,kesho,-1.885654886
tangu,kadhaa,kukomesha,-1.887733888
yenye,Akha,ishirini,-1.88981289
ishirini,khan,tukiongea,-1.891891892
cheo,kilichoundwa,ukazichukulia,-1.893970894
cha,mashambulizi,kushangaza,-1.896049896
chini,mganga,zinachukulia,-1.898128898
Ochuka,mchawi,nyingi,-1.9002079
wabunge,kutangazwa,nchini,-1.902286902
viongozi,hadhira,kenya,-1.904365904
uchina,mwisho,nchini,-1.906444906
uchumi,mengi,kenya,-1.908523909
mengi,maisha,wengi,-1.910602911
ishara,shirika,Mpango,-1.912681913
nchini,shirika,mchumi,-1.914760915
mwandishi,makhsusi,wengine,-1.916839917
wanashirikiana,chini,Washia,-1.918918919
kupunguza,yangu,lugha,-1.920997921
kupunguza,mwandishi,nchini,-1.923076923
wanaoingiza,mwenyewe,Gandhi,-1.925155925
kwenye,kulingana,chenye,-1.927234927
nchi,cha,Qing,-1.929313929
nchi,wazungu,uongozi,-1.931392931
inashikitishwa,wenyewe,chama,-1.933471933
kupunguza,nchini,cha,-1.935550936
ghafla,tangu,cha,-1.937629938
wenyewe,khimrichi,uchafuzi,-1.93970894
kulishughulikia,aliyeongoza,yangu,-1.941787942
kuungana,Tangu,kisheria,-1.943866944
shahidi,kiongozi,wangu,-1.945945946
chini,mengi,mwanasheria,-1.948024948
Ishirini,alianguka,kuwaangalia,-1.95010395
oparesheni,shilingi,bidhaa,-1.952182952
licha,langu,kufanya,-1.954261954
changamoto,Rushwa,wabunge,-1.956340956
alishambuliwa,nyumbani,kipingamizi,-1.958419958
aliangalia,ilijiunga,mchakato,-1.96049896
zangu,mashariki,kumuidhinisha,-1.962577963
amezungumza,Wabunge,nchini,-1.964656965
washiriki,kufanya,Gungulugwa,-1.966735967
Barghash,hadhara,Waingu,-1.968814969
uchu,wengine,uchomaji,-1.970893971
kuchukuwa,mazungumzo,kadhalika,-1.972972973
kuonesha,nchi,kushinikiza,-1.975051975
